data/test/go_02_22_2016.obo: fmt(1.2) rel(2016-02-20) 44,127 GO Terms
data/test/goslim_metagenomics_02_22_2016.obo: fmt(1.2) rel(None) 161 GO Terms
GO:0009103	GO:0006629;GO:0009058;GO:0005975
GO:0003887	GO:0034061
GO:0003886	GO:0016740
GO:0032386	GO:0008150
GO:0018298	GO:0019538
GO:0000774	GO:0000166;GO:0030234
GO:0000775	GO:0005575
GO:0000776	GO:0005575
GO:0004645	GO:0016757
GO:0007205	GO:0007165
GO:0009341	GO:0005575
GO:0016812	GO:0016810
GO:0016813	GO:0016810
GO:0060627	GO:0008150
GO:0004402	GO:0016407
GO:0002943	GO:0016070
GO:0008519	GO:0005215
GO:0060326	GO:0048870;GO:0006935
GO:0015288	GO:0005215
GO:0016229	GO:0016491
GO:0046058	GO:0009117
GO:0016226	GO:0016043;GO:0009058
GO:0090502	GO:0016070
GO:0090503	GO:0016070
GO:0002683	GO:0008150
GO:0035091	GO:0003674
GO:0019441	GO:0009056;GO:0006520
GO:0032844	GO:0008150
GO:0043225	GO:0016887;GO:0005215
GO:0009186	GO:0044281;GO:0006807
GO:0008270	GO:0046872
GO:0070585	GO:0008150
GO:0070588	GO:0006811
GO:0032300	GO:0005575
GO:0003725	GO:0003676
GO:0003729	GO:0003676
GO:0004970	GO:0005215;GO:0004872
GO:0005375	GO:0005215
GO:0007283	GO:0008150
GO:0006888	GO:0006810
GO:0006885	GO:0042592
GO:0006887	GO:0006810
GO:0016075	GO:0016070;GO:0009056
GO:0008076	GO:0005575
GO:0016892	GO:0004518
GO:0016896	GO:0004518
GO:0044057	GO:0008150
GO:0016539	GO:0019538
GO:0030182	GO:0008150
GO:0009062	GO:0044281;GO:0006629;GO:0009056
GO:0009060	GO:0045333
GO:0009065	GO:0009056;GO:0006520
GO:0019013	GO:0005575
GO:0019012	GO:0019012
GO:0070469	GO:0070469
GO:0033644	GO:0005575
GO:0005234	GO:0005215;GO:0004872
GO:0000030	GO:0016757
GO:0004725	GO:0016791
GO:0004722	GO:0016791
GO:0043161	GO:0009056;GO:0019538
